,1,2,3,4,5,6,7,8,9
Ongoing Financial Strain (0.0),0.203,0.108,0.0,0.0,0.468,0.0,0.003,0.142,0.569
Ongoing Financial Strain (1.0),0.197,0.089,0.0,0.0,0.462,0.0,0.002,0.165,0.603
Ongoing Housing Problems (0.0),0.0,0.003,0.002,0.0,0.003,0.0,0.878,0.0,0.446
Ongoing Housing Problems (1.0),0.0,0.001,0.0,0.0,0.006,0.003,0.881,0.0,0.528
Ongoing Problems Close Relationship (0.0),0.213,0.0,0.0,0.152,0.332,0.001,0.424,0.633,0.006
Ongoing Problems Close Relationship (1.0),0.242,0.0,0.0,0.14,0.338,0.005,0.414,0.629,0.002
Reg Help Ailing Friend/Fam (0.0),0.27,0.0,0.364,0.0,0.379,0.859,0.0,0.016,0.298
Reg Help Ailing Friend/Fam (1.0),0.31,0.0,0.348,0.0,0.39,0.855,0.0,0.007,0.258
Difficulty Paying Bills (0.0),0.834,0.578,0.0,0.777,0.38,0.037,0.145,0.609,0.043
Difficulty Paying Bills (1.0),0.827,0.555,0.0,0.774,0.386,0.059,0.151,0.64,0.084
Often Vigorous Activity (0.0),0.0,0.001,0.038,0.126,0.196,0.405,0.925,0.241,0.017
Often Vigorous Activity (1.0),0.006,0.008,0.043,0.156,0.17,0.361,0.919,0.142,0.0
Often Moderate Activity (0.0),0.0,0.086,0.0,0.0,0.963,0.486,0.349,0.008,0.0
Often Moderate Activity (1.0),0.0,0.148,0.0,0.0,0.963,0.432,0.286,0.001,0.0
Often Mild Activity (0.0),0.0,0.0,0.0,0.727,0.811,0.038,0.0,0.0,0.0
Often Mild Activity (1.0),0.0,0.0,0.0,0.726,0.81,0.016,0.0,0.0,0.0
Drink Alcohol (0.0),0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Drink Alcohol (1.0),0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
Education (0.0),0.0,0.0,0.867,0.0,0.0,0.0,0.0,0.0,0.009
Education (0.5),0.0,0.0,0.867,0.0,0.0,0.0,0.0,0.0,0.009
Education (1.5),0.0,0.0,0.373,0.019,0.003,0.0,0.0,0.0,0.007
Education (2.5),0.0,0.0,0.373,0.019,0.003,0.0,0.0,0.0,0.007
Education (4.5),0.0,0.0,0.143,0.265,0.108,0.0,0.03,0.0,0.0
Education (5.5),0.0,0.0,0.02,0.428,0.075,0.0,0.001,0.0,0.0
Education (6.5),0.0,0.0,0.02,0.428,0.075,0.0,0.001,0.0,0.0
Education (7.5),0.0,0.0,0.02,0.428,0.075,0.0,0.001,0.0,0.0
Education (8.5),0.0,0.0,0.009,0.71,0.565,0.004,0.0,0.0,0.0
Education (9.5),0.0,0.0,0.0,0.054,0.003,0.003,0.0,0.0,0.0
Education (10.5),0.0,0.0,0.0,0.05,0.002,0.004,0.0,0.0,0.0
Education (11.5),0.0,0.0,0.0,0.0,0.0,0.529,0.127,0.0,0.0
Education (12.5),0.0,0.0,0.296,0.033,0.605,0.009,0.032,0.0,0.0
Education (13.5),0.0,0.0,0.209,0.035,0.734,0.0,0.002,0.0,0.0
Education (14.5),0.0,0.0,0.209,0.035,0.734,0.0,0.002,0.0,0.0
Education (15.5),0.0,0.0,0.0,0.049,0.625,0.007,0.0,0.0,0.0
Education (16.5),0.0,0.0,0.0,0.855,0.015,0.09,0.0,0.0,0.0
Education (17.0),0.0,0.0,0.0,0.855,0.015,0.09,0.0,0.0,0.0
Smoking (0.0),0.259,0.0,0.009,0.003,0.185,0.514,0.935,0.0,0.063
Smoking (1.0),0.188,0.0,0.008,0.008,0.168,0.535,0.936,0.0,0.149
Age (60.0),0.0,0.0,0.177,0.451,0.008,0.0,0.0,0.0,0.0
Age (60.5),0.0,0.0,0.177,0.451,0.008,0.0,0.0,0.0,0.0
Age (61.5),0.0,0.0,0.17,0.521,0.007,0.0,0.0,0.0,0.0
Age (62.5),0.0,0.0,0.17,0.521,0.007,0.0,0.0,0.0,0.0
Age (63.5),0.0,0.0,0.17,0.521,0.007,0.0,0.0,0.0,0.0
Age (64.5),0.0,0.0,0.178,0.922,0.003,0.0,0.0,0.0,0.0
Age (65.5),0.0,0.0,0.178,0.922,0.003,0.0,0.0,0.0,0.0
Age (66.5),0.0,0.0,0.213,0.946,0.003,0.0,0.0,0.0,0.0
Age (67.5),0.0,0.0,0.213,0.946,0.003,0.0,0.0,0.0,0.0
Age (68.5),0.0,0.0,0.761,0.569,0.0,0.0,0.0,0.0,0.0
Age (69.5),0.0,0.0,0.669,0.554,0.0,0.0,0.0,0.0,0.0
Age (70.5),0.0,0.0,0.281,0.369,0.0,0.004,0.0,0.0,0.0
Age (71.5),0.0,0.008,0.009,0.156,0.0,0.115,0.003,0.0,0.0
Age (72.5),0.0,0.01,0.002,0.059,0.0,0.074,0.002,0.0,0.0
Age (73.5),0.074,0.331,0.0,0.036,0.019,0.64,0.333,0.027,0.145
Age (74.5),0.0,0.0,0.0,0.007,0.633,0.002,0.0,0.002,0.0
Age (75.5),0.0,0.0,0.0,0.007,0.633,0.002,0.0,0.002,0.0
Age (76.5),0.0,0.0,0.0,0.006,0.633,0.001,0.0,0.002,0.0
Age (77.5),0.0,0.0,0.0,0.019,0.767,0.0,0.002,0.0,0.0
Age (78.5),0.0,0.0,0.0,0.001,0.88,0.0,0.003,0.001,0.0
Age (79.5),0.0,0.0,0.0,0.001,0.867,0.0,0.002,0.001,0.0
Age (80.5),0.0,0.0,0.813,0.032,0.005,0.0,0.0,0.0,0.0
Age (81.5),0.0,0.0,0.835,0.019,0.012,0.0,0.0,0.0,0.0
Age (82.5),0.0,0.0,0.835,0.019,0.012,0.0,0.0,0.0,0.0
Age (83.5),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (84.5),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (85.5),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (86.5),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (87.5),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (88.5),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (89.5),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (90.5),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (91.5),0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
Age (92.5),0.0,0.0,0.006,0.0,0.001,0.0,0.0,0.0,0.0
Age (93.5),0.0,0.0,0.006,0.0,0.001,0.0,0.0,0.0,0.0
Age (94.5),0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0
Age (96.0),0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0
Age (99.0),0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0
