,1,2,3,4,5,6,7,8,9
Often Play Cards And Games (1.0),-3.572,2.459,0.35,-4.355,-0.691,3.938,-3.883,7.972,2.314
Often Do Writing (0.0),5.407,1.44,5.124,5.215,-0.524,-1.089,1.86,-2.241,-4.783
Often Do Writing (1.0),-3.907,-1.197,-4.292,-4.507,0.53,1.167,-1.914,2.705,8.716
Often Use Computer (0.0),13.189,15.027,5.354,-5.39,-3.221,-6.706,-6.34,-5.875,-6.168
Often Use Computer (1.0),-6.544,-9.421,-4.23,5.659,3.585,8.288,8.019,9.919,13.228
Often Maintenance/Gardening (0.0),10.934,2.025,-1.726,-0.298,-1.36,-2.347,-1.561,0.768,-2.535
Often Maintenance/Gardening (1.0),-7.811,-1.778,1.774,0.295,1.346,2.605,1.743,-0.873,3.107
Often Bake Or Cook (0.0),2.587,0.109,1.737,1.716,1.892,-0.353,-3.462,-4.086,2.547
Often Bake Or Cook (1.0),-2.057,-0.099,-1.64,-1.64,-1.844,0.378,4.384,4.836,-2.868
Often Sew Or Knit (0.0),3.526,11.687,-1.533,4.194,-1.636,-1.53,-3.889,-4.568,-1.642
Often Sew Or Knit (1.0),-2.574,-8.983,1.586,-3.275,1.628,1.755,4.808,6.013,2.035
Often Do Hobby (0.0),3.334,5.809,-0.988,-0.317,1.44,-2.447,-6.106,-1.634,1.442
Often Do Hobby (1.0),-2.554,-4.686,0.978,0.313,-1.4,2.725,7.276,1.914,-1.684
Often Play Sport/Exercise (0.0),7.728,1.347,-3.955,2.645,-1.747,-0.07,-0.233,-2.989,-3.332
Often Play Sport/Exercise (1.0),-5.269,-1.135,4.046,-2.502,1.796,0.077,0.252,3.576,4.717
Often Walk For 20 Mins (0.0),-0.614,0.686,-2.44,-2.72,5.3,-1.905,2.393,3.327,-0.504
Often Walk For 20 Mins (1.0),0.494,-0.615,2.519,2.834,-5.049,2.078,-2.525,-3.713,0.695
Self Ongoing Health Problems (0.0),1.195,-4.245,-3.052,0.524,-1.055,0.904,0.14,2.912,6.461
Self Ongoing Health Problems (1.0),-1.416,4.941,3.507,-0.522,1.081,-0.842,-0.134,-2.614,-4.641
Ongoing Phy/Emot Problems In Sp/Chld (0.0),0.656,1.334,1.48,-0.403,-1.418,4.724,-3.305,-0.468,-0.804
Ongoing Phy/Emot Problems In Sp/Chld (1.0),-0.687,-1.304,-1.481,0.406,1.423,-4.338,3.648,0.453,0.78
Ongoing Drug/Alcohol Probs Fam Mbr (0.0),-1.934,4.5,-3.02,-3.501,-4.124,2.967,1.895,1.037,2.29
Ongoing Drug/Alcohol Probs Fam Mbr (1.0),2.033,-4.106,3.298,3.881,4.638,-2.743,-1.86,-1.012,-1.99
Ongoing Difficulties At Work (0.0),8.316,2.325,3.521,-0.366,-0.856,-1.841,-1.628,-3.857,-2.129
Ongoing Difficulties At Work (1.0),-6.719,-2.211,-3.306,0.369,0.872,1.846,1.702,4.294,2.351
Ongoing Financial Strain (0.0),2.324,-0.723,3.741,-7.735,-0.983,6.359,-3.745,-1.371,-0.551
Ongoing Financial Strain (1.0),-2.422,0.757,-3.879,7.761,0.986,-5.253,3.893,1.262,0.496
Ongoing Housing Problems (0.0),-3.903,-3.236,-3.55,5.717,2.748,3.521,-0.103,8.031,1.306
Ongoing Housing Problems (1.0),4.957,3.567,4.09,-4.946,-2.581,-3.014,0.1,-5.571,-1.088
Ongoing Problems Close Relationship (0.0),2.34,5.747,-3.247,-1.372,0.475,2.876,0.3,-1.066,-2.963
Ongoing Problems Close Relationship (1.0),-2.21,-5.373,3.477,1.392,-0.478,-2.503,-0.306,1.063,3.228
Reg Help Ailing Friend/Fam (0.0),2.636,12.502,-1.128,4.909,0.869,-0.236,-7.079,-2.838,-1.336
Reg Help Ailing Friend/Fam (1.0),-2.414,-10.478,1.159,-4.618,-0.85,0.239,8.67,3.084,1.44
Difficulty Paying Bills (0.0),0.463,-0.21,-4.442,-0.223,-1.294,2.143,0.776,1.142,2.477
Difficulty Paying Bills (1.0),-0.488,0.223,4.967,0.226,1.267,-1.938,-0.768,-1.057,-2.16
Often Vigorous Activity (0.0),6.328,4.924,-1.611,1.496,-1.162,-1.418,-0.318,-2.424,-3.204
Often Vigorous Activity (1.0),-4.123,-3.887,1.562,-1.401,1.222,1.547,0.345,3.023,4.963
Often Moderate Activity (0.0),7.98,3.598,3.64,-3.301,-0.01,-1.318,-2.214,-4.029,-4.083
Often Moderate Activity (1.0),-5.697,-3.085,-3.272,3.554,0.01,1.473,2.481,5.214,6.931
Often Mild Activity (0.0),9.046,8.916,4.985,0.153,-0.09,-2.41,-6.623,-6.521,-6.173
Often Mild Activity (1.0),-5.795,-6.405,-4.244,-0.153,0.091,2.75,8.912,8.46,9.338
Drink Alcohol (0.0),10.236,4.72,13.752,-4.506,-2.554,-5.898,-5.921,-5.583,-4.248
Drink Alcohol (1.0),-6.629,-3.84,-11.466,5.044,2.677,6.461,6.491,7.496,6.099
Smoking (0.0),0.215,-3.659,2.189,2.576,-1.595,-0.365,-0.631,4.32,1.547
Smoking (1.0),-0.243,4.035,-2.227,-2.298,1.641,0.349,0.614,-3.679,-1.236
